id,lastUpdated,clinic_type,queue,wait_time,treat_time,total_time
BELWIC,2024-10-16T07:34:30.092+11:00,WIC,0,0:00,0:00,0:00
GUNWIC,2024-10-16T07:34:30.092+11:00,WIC,1,0:01,0:00,0:01
DICWIC,2024-10-16T07:34:30.092+11:00,WIC,1,0:02,0:00,0:02
TUGWIC,2024-10-16T07:34:30.092+11:00,WIC,0,0:00,0:00,0:00
WECWIC,2024-10-16T07:34:30.092+11:00,WIC,0,0:00,0:00,0:00
CBRHOSED,2024-10-16T07:33:00.000+11:00,ED,7,0:54,4:39,5:33
NORHOSED,2024-10-16T07:33:00.000+11:00,ED,9,1:50,0:00,1:50
BELWIC,2024-10-16T07:35:30.090+11:00,WIC,0,0:00,0:00,0:00
GUNWIC,2024-10-16T07:35:30.090+11:00,WIC,0,0:02,0:00,0:02
DICWIC,2024-10-16T07:35:30.090+11:00,WIC,0,0:03,0:00,0:03
TUGWIC,2024-10-16T07:35:30.090+11:00,WIC,0,0:00,0:00,0:00
WECWIC,2024-10-16T07:35:30.090+11:00,WIC,0,0:00,0:00,0:00
CBRHOSED,2024-10-16T07:33:00.000+11:00,ED,7,0:54,4:39,5:33
NORHOSED,2024-10-16T07:33:00.000+11:00,ED,9,1:50,0:00,1:50
BELWIC,2024-10-16T07:36:30.094+11:00,WIC,0,0:00,0:00,0:00
GUNWIC,2024-10-16T07:36:30.094+11:00,WIC,1,0:02,0:01,0:03
DICWIC,2024-10-16T07:36:30.094+11:00,WIC,0,0:03,0:01,0:04
TUGWIC,2024-10-16T07:36:30.094+11:00,WIC,1,0:01,0:00,0:01
WECWIC,2024-10-16T07:36:30.094+11:00,WIC,0,0:00,0:00,0:00
CBRHOSED,2024-10-16T07:35:00.000+11:00,ED,7,0:54,4:39,5:33
NORHOSED,2024-10-16T07:35:00.000+11:00,ED,9,1:50,0:00,1:50
BELWIC,2024-10-16T07:37:30.094+11:00,WIC,1,0:01,0:00,0:01
